,classify
2338,4
2339,1
2340,2
2341,1
2342,2
2343,0
2344,2
2345,3
2346,1
2347,2
2348,1
2349,2
2350,1
2351,0
2352,3
2353,0
2354,1
2355,3
2356,2
2357,2
2358,0
2359,3
2360,4
2361,0
2362,3
2363,2
2364,3
2365,3
2366,4
2367,3
2368,3
2369,4
2370,1
2371,0
2372,2
2373,2
2374,3
2375,2
2376,3
2377,2
2378,4
2379,3
2380,1
2381,1
2382,1
2383,0
2384,0
2385,3
2386,1
2387,1
2388,4
2389,3
2390,4
2391,3
2392,3
2393,4
2394,2
2395,1
2396,2
2397,3
2398,1
2399,3
2400,0
2401,2
2402,1
2403,2
2404,3
2405,0
2406,2
2407,3
2408,1
2409,3
2410,3
2411,2
2412,1
2413,3
2414,1
2415,0
2416,0
2417,4
2418,1
2419,1
2420,4
2421,3
2422,3
2423,4
2424,2
2425,2
2426,1
2427,1
2428,1
2429,3
2430,1
2431,4
2432,0
2433,2
2434,1
2435,0
2436,0
2437,2
2438,3
2439,1
2440,2
2441,3
2442,3
2443,4
2444,3
2445,3
2446,0
2447,1
2448,3
2449,3
2450,0
2451,2
2452,3
2453,4
2454,1
2455,2
2456,2
2457,0
2458,4
2459,0
2460,4
2461,1
2462,3
2463,3
2464,4
2465,4
2466,2
2467,1
2468,1
2469,0
2470,2
2471,1
2472,2
2473,2
2474,1
2475,4
2476,3
2477,1
2478,2
2479,3
2480,1
2481,0
2482,2
2483,1
2484,3
2485,1
2486,1
2487,1
2488,4
2489,1
2490,4
2491,2
2492,1
2493,4
2494,3
2495,2
2496,0
2497,1
2498,3
2499,1
2500,1
2501,1
2502,2
2503,4
2504,3
2505,2
2506,1
2507,1
2508,3
2509,2
2510,3
2511,3
2512,3
2513,0
2514,3
2515,1
2516,3
2517,3
2518,3
2519,1
2520,1
2521,1
2522,3
2523,2
2524,3
2525,0
2526,2
2527,1
2528,3
2529,0
2530,1
2531,3
2532,1
2533,4
2534,1
2535,3
2536,3
2537,4
2538,3
2539,3
2540,0
2541,1
2542,2
2543,3
2544,4
2545,1
2546,0
2547,3
2548,1
2549,1
2550,2
2551,3
2552,0
2553,3
2554,2
2555,4
2556,3
2557,3
2558,1
2559,1
2560,4
2561,3
2562,3
2563,3
2564,0
2565,1
2566,3
2567,3
2568,1
2569,2
2570,2
2571,2
2572,4
2573,0
2574,1
2575,4
2576,0
2577,4
